1,1,1
2,1,2
3,2,3
4,3,4
5,4,5
6,5,6
7,5,7
8,5,8
9,6,7
10,6,6
11,7,5
12,8,4
13,9,3
14,10,2
15,11,1
16,12,2
17,12,3
18,13,6
19,14,5
20,15,4
21,16,3
22,16,2
23,16,1
24,17,2
25,17,3
26,18,2
27,18,3
28,19,6
29,19,5
30,20,4
31,20,3
32,21,2
33,22,1
34,23,2
35,24,3
36,25,2
37,25,3
38,26,6
39,26,5
40,27,4
41,27,3
42,28,2
43,29,1
44,30,2
45,31,3
46,32,2
47,32,3
48,33,6
49,34,5
50,34,4
51,34,3
52,35,2
53,36,1
54,37,2
55,38,3
56,39,2
57,40,3
58,41,6
59,42,5
60,43,4
61,44,3
62,44,2
63,45,1
64,46,2
65,47,3
